What is non metal that remains liquid at room temperature?,bromine
Who is the president of India?,Ram Nath Kovind
What is study of Entomology for?,Insects
Who is father of geometry?,Euclid
What is hardest substance available on earth?,Diamond
How many rings does Saturn have?,8
Which country is called land of rising sun?,Japan
Indian player Jude Felix is famous for which sports?,Hockey
Who invented radium?,Marie Curie
Which country has won maximum number of fifa world cups?,Brazil
Who is youngest novel laureate?,Malala Yousafzai
Pultizer prize is awarded in which field of work?,Literature
Which actor has highest number of academy awards?,Katharine Hepburn
Which movie won 11 oscars?,Titanic
